
lambda=0.05

 Loss2=0.0266, LossMSE=3.5090, LossGram=2.8430,Loss_Full=0.3604, Time=0.2526
0110 00365 Loss1=0.0194, Lambda=2.75, Loss2=0.0271, LossMSE=3.5642, LossGram=2.8127,Loss_Full=0.3654, Time=0.2436
0110 00366 Loss1=0.0159, Lambda=2.75, Loss2=0.0268, LossMSE=3.2194, LossGram=3.1477,Loss_Full=0.3610, Time=0.2525
0110 00367 Loss1=0.0185, Lambda=2.75, Loss2=0.0270, LossMSE=3.2764, LossGram=2.8155,Loss_Full=0.3501, Time=0.2626
0110 00368 Loss1=0.0159, Lambda=2.75, Loss2=0.0267, LossMSE=3.0368, LossGram=3.5213,Loss_Full=0.3704, Time=0.2402
0110 00369 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.0092, LossGram=3.4708,Loss_Full=0.3662, Time=0.2600
0110 00370 Loss1=0.0168, Lambda=2.75, Loss2=0.0268, LossMSE=3.3945, LossGram=2.8394,Loss_Full=0.3552, Time=0.2433
0110 00371 Loss1=0.0185, Lambda=2.75, Loss2=0.0269, LossMSE=3.1099, LossGram=3.0242,Loss_Full=0.3521, Time=0.2268
0110 00372 Loss1=0.0147, Lambda=2.75, Loss2=0.0263, LossMSE=2.7979, LossGram=3.5646,Loss_Full=0.3591, Time=0.2588
0110 00373 Loss1=0.0172, Lambda=2.75, Loss2=0.0264, LossMSE=2.8229, LossGram=2.9827,Loss_Full=0.3339, Time=0.2458
0110 00374 Loss1=0.0137, Lambda=2.75, Loss2=0.0266, LossMSE=3.0801, LossGram=3.7901,Loss_Full=0.3838, Time=0.2523
0110 00375 Loss1=0.0188, Lambda=2.75, Loss2=0.0262, LossMSE=3.0372, LossGram=2.2449,Loss_Full=0.3091, Time=0.2569
0110 00376 Loss1=0.0167, Lambda=2.75, Loss2=0.0269, LossMSE=3.2151, LossGram=2.9972,Loss_Full=0.3542, Time=0.2493
0110 00377 Loss1=0.0166, Lambda=2.75, Loss2=0.0265, LossMSE=3.3426, LossGram=2.7972,Loss_Full=0.3502, Time=0.2533
0110 00378 Loss1=0.0159, Lambda=2.75, Loss2=0.0265, LossMSE=3.3835, LossGram=2.7954,Loss_Full=0.3514, Time=0.2322
