系数为都为1

da=2.75, Loss2=0.0270, LossMSE=3.2928, LossGram=2.7760,Loss_Full=6.1149, Time=0.2549
0110 00363 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.2024, LossGram=2.9590,Loss_Full=6.2047, Time=0.2511
0110 00364 Loss1=0.0169, Lambda=2.75, Loss2=0.0268, LossMSE=3.2352, LossGram=2.9820,Loss_Full=6.2609, Time=0.2488
0110 00365 Loss1=0.0162, Lambda=2.75, Loss2=0.0266, LossMSE=2.6240, LossGram=3.4646,Loss_Full=6.1314, Time=0.2534
0110 00366 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=2.9986, LossGram=2.8989,Loss_Full=5.9409, Time=0.2544
0110 00367 Loss1=0.0154, Lambda=2.75, Loss2=0.0264, LossMSE=3.0555, LossGram=3.0219,Loss_Full=6.1191, Time=0.2387
0110 00368 Loss1=0.0163, Lambda=2.75, Loss2=0.0268, LossMSE=3.1217, LossGram=3.4122,Loss_Full=6.5770, Time=0.2442
0110 00369 Loss1=0.0152, Lambda=2.75, Loss2=0.0265, LossMSE=3.1115, LossGram=3.1834,Loss_Full=6.3366, Time=0.2503
0110 00370 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.2604, LossGram=3.2244,Loss_Full=6.5270, Time=0.2414
0110 00371 Loss1=0.0141, Lambda=2.75, Loss2=0.0268, LossMSE=2.9700, LossGram=3.7541,Loss_Full=6.7650, Time=0.2529
0110 00372 Loss1=0.0155, Lambda=2.75, Loss2=0.0265, LossMSE=3.2686, LossGram=3.1865,Loss_Full=6.4971, Time=0.2390
0110 00373 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=3.1120, LossGram=3.3146,Loss_Full=6.4691, Time=0.2585
0110 00374 Loss1=0.0178, Lambda=2.75, Loss2=0.0269, LossMSE=3.3505, LossGram=3.0133,Loss_Full=6.4085, Time=0.2500
0110 00375 Loss1=0.0178, Lambda=2.75, Loss2=0.0270, LossMSE=3.4603, LossGram=2.7873,Loss_Full=6.2923, Time=0.2535
0110 00376 Loss1=0.0147, Lambda=2.75, Loss2=0.0266, LossMSE=2.9718, LossGram=3.5014,Loss_Full=6.5145, Time=0.2578
0110 00377 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.3230, LossGram=3.3719,Loss_Full=6.7379, Time=0.2399
0110 00378 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.3823, LossGram=2.9554,Loss_Full=6.3814, Time=0.2404
0110 00379 Loss1=0.0146, Lambda=2.75, Loss2=0.0267, LossMSE=2.8848, LossGram=3.6734,Loss_Full=6.5995, Time=0.2475
0110 00380 Loss1=0.0201, Lambda=2.75, Loss2=0.0267, LossMSE=3.2411, LossGram=2.5974,Loss_Full=5.8854, Time=0.2569
0110 00381 Loss1=0.0150, Lambda=2.75, Loss2=0.0264, LossMSE=3.1451, LossGram=3.6479,Loss_Full=6.8344, Time=0.2397
0110 00382 Loss1=0.0183, Lambda=2.75, Loss2=0.0265, LossMSE=3.2453, LossGram=2.4778,Loss_Full=5.7680, Time=0.2512
0110 00383 Loss1=0.0145, Lambda=2.75, Loss2=0.0267, LossMSE=3.1844, LossGram=3.3990,Loss_Full=6.6245, Time=0.2554
0110 00384 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=3.0264, LossGram=2.8421,Loss_Full=5.9123, Time=0.2537
0110 00385 Loss1=0.0198, Lambda=2.75, Loss2=0.0268, LossMSE=3.9678, LossGram=2.2618,Loss_Full=6.2762, Time=0.2636
0110 00386 Loss1=0.0159, Lambda=2.75, Loss2=0.0266, LossMSE=3.0942, LossGram=3.2581,Loss_Full=6.3947, Time=0.2497
0110 00387 Loss1=0.0180, Lambda=2.75, Loss2=0.0263, LossMSE=2.9238, LossGram=3.1242,Loss_Full=6.0923, Time=0.2633
0110 00388 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.0876, LossGram=2.9765,Loss_Full=6.1078, Time=0.2404
0110 00389 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=2.9675, LossGram=3.2203,Loss_Full=6.2300, Time=0.2400
