lamda3=0.1

5, Loss2=0.0267, LossMSE=3.2610, LossGram=3.7285,Loss_Full=0.7402, Time=0.2415
0110 00312 Loss1=0.0160, Lambda=2.75, Loss2=0.0264, LossMSE=3.2214, LossGram=3.1356,Loss_Full=0.6781, Time=0.2333
0110 00313 Loss1=0.0140, Lambda=2.75, Loss2=0.0264, LossMSE=2.7795, LossGram=3.6227,Loss_Full=0.6807, Time=0.2469
0110 00314 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.4037, LossGram=3.2856,Loss_Full=0.7121, Time=0.2612
0110 00315 Loss1=0.0180, Lambda=2.75, Loss2=0.0265, LossMSE=3.2754, LossGram=2.8210,Loss_Full=0.6542, Time=0.2624
0110 00316 Loss1=0.0180, Lambda=2.75, Loss2=0.0265, LossMSE=3.1809, LossGram=2.6838,Loss_Full=0.6309, Time=0.2458
0110 00317 Loss1=0.0151, Lambda=2.75, Loss2=0.0266, LossMSE=3.0322, LossGram=3.6288,Loss_Full=0.7078, Time=0.2539
0110 00318 Loss1=0.0193, Lambda=2.75, Loss2=0.0267, LossMSE=3.1811, LossGram=2.6914,Loss_Full=0.6332, Time=0.2401
0110 00319 Loss1=0.0142, Lambda=2.75, Loss2=0.0267, LossMSE=3.1568, LossGram=3.7776,Loss_Full=0.7344, Time=0.2383
0110 00320 Loss1=0.0185, Lambda=2.75, Loss2=0.0268, LossMSE=3.3013, LossGram=2.8688,Loss_Full=0.6623, Time=0.2432
0110 00321 Loss1=0.0178, Lambda=2.75, Loss2=0.0268, LossMSE=3.3422, LossGram=2.9259,Loss_Full=0.6715, Time=0.2251
0110 00322 Loss1=0.0140, Lambda=2.75, Loss2=0.0268, LossMSE=2.9269, LossGram=3.8278,Loss_Full=0.7163, Time=0.2549
0110 00323 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=2.9305, LossGram=3.3849,Loss_Full=0.6726, Time=0.2553
0110 00324 Loss1=0.0179, Lambda=2.75, Loss2=0.0267, LossMSE=3.5142, LossGram=2.7387,Loss_Full=0.6700, Time=0.2556
0110 00325 Loss1=0.0167, Lambda=2.75, Loss2=0.0267, LossMSE=3.4133, LossGram=3.0211,Loss_Full=0.6868, Time=0.2408
0110 00326 Loss1=0.0172, Lambda=2.75, Loss2=0.0268, LossMSE=3.2739, LossGram=2.9330,Loss_Full=0.6648, Time=0.2387
0110 00327 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.1136, LossGram=3.6034,Loss_Full=0.7139, Time=0.2593
0110 00328 Loss1=0.0200, Lambda=2.75, Loss2=0.0267, LossMSE=3.3948, LossGram=2.1163,Loss_Full=0.5978, Time=0.2409
0110 00329 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.0997, LossGram=2.8144,Loss_Full=0.6348, Time=0.2495
0110 00330 Loss1=0.0150, Lambda=2.75, Loss2=0.0263, LossMSE=3.0230, LossGram=3.2910,Loss_Full=0.6727, Time=0.2568
0110 00331 Loss1=0.0153, Lambda=2.75, Loss2=0.0267, LossMSE=3.4074, LossGram=2.8393,Loss_Full=0.6666, Time=0.2462
0110 00332 Loss1=0.0156, Lambda=2.75, Loss2=0.0262, LossMSE=2.7243, LossGram=3.5664,Loss_Full=0.6708, Time=0.2645
0110 00333 Loss1=0.0185, Lambda=2.75, Loss2=0.0266, LossMSE=3.1532, LossGram=3.0036,Loss_Full=0.6608, Time=0.2629
0110 00334 Loss1=0.0162, Lambda=2.75, Loss2=0.0267, LossMSE=3.1956, LossGram=3.1712,Loss_Full=0.6795, Time=0.2599
0110 00335 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=3.1380, LossGram=2.9405,Loss_Full=0.6497, Time=0.2545
0110 00336 Loss1=0.0157, Lambda=2.75, Loss2=0.0264, LossMSE=2.9963, LossGram=3.2747,Loss_Full=0.6692, Time=0.2540
0110 00337 Loss1=0.0156, Lambda=2.75, Loss2=0.0264, LossMSE=3.0252, LossGram=3.0158,Loss_Full=0.6461, Time=0.2426
0110 00338 Loss1=0.0149, Lambda=2.75, Loss2=0.0261, LossMSE=2.5968, LossGram=3.1349,Loss_Full=0.6142, Time=0.2543
0110 00339 Loss1=0.0178, Lambda=2.75, Loss2=0.0263, LossMSE=3.0982, LossGram=2.5741,Loss_Full=0.6114, Time=0.2568
0110 00340 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=3.3256, LossGram=2.8895,Loss_Full=0.6652, Time=0.2426
0110 00341 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.2719, LossGram=3.1451,Loss_Full=0.6839, Time=0.2404
0110 00342 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=3.1605, LossGram=3.3517,Loss_Full=0.6950, Time=0.2406
