 lamda =0.06


 Loss2=0.0267, LossMSE=3.3019, LossGram=3.3932,Loss_Full=0.4440, Time=0.2503
0110 00336 Loss1=0.0171, Lambda=2.75, Loss2=0.0267, LossMSE=3.2362, LossGram=2.9180,Loss_Full=0.4130, Time=0.2487
0110 00337 Loss1=0.0140, Lambda=2.75, Loss2=0.0266, LossMSE=2.9781, LossGram=3.5438,Loss_Full=0.4319, Time=0.2594
0110 00338 Loss1=0.0159, Lambda=2.75, Loss2=0.0266, LossMSE=3.3387, LossGram=3.4272,Loss_Full=0.4485, Time=0.2535
0110 00339 Loss1=0.0162, Lambda=2.75, Loss2=0.0265, LossMSE=3.0993, LossGram=2.9937,Loss_Full=0.4083, Time=0.2627
0110 00340 Loss1=0.0137, Lambda=2.75, Loss2=0.0264, LossMSE=2.9846, LossGram=3.6590,Loss_Full=0.4388, Time=0.2343
0110 00341 Loss1=0.0142, Lambda=2.75, Loss2=0.0268, LossMSE=2.9220, LossGram=3.3477,Loss_Full=0.4172, Time=0.2316
0110 00342 Loss1=0.0155, Lambda=2.75, Loss2=0.0263, LossMSE=3.0176, LossGram=3.3507,Loss_Full=0.4239, Time=0.2694
0110 00343 Loss1=0.0147, Lambda=2.75, Loss2=0.0264, LossMSE=3.1155, LossGram=3.2667,Loss_Full=0.4240, Time=0.2410
0110 00344 Loss1=0.0206, Lambda=2.75, Loss2=0.0271, LossMSE=3.1855, LossGram=2.7426,Loss_Full=0.4034, Time=0.2441
0110 00345 Loss1=0.0178, Lambda=2.75, Loss2=0.0265, LossMSE=3.4032, LossGram=2.5167,Loss_Full=0.3995, Time=0.2533
0110 00346 Loss1=0.0138, Lambda=2.75, Loss2=0.0264, LossMSE=2.7309, LossGram=3.3237,Loss_Full=0.4034, Time=0.2526
0110 00347 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.0370, LossGram=3.4111,Loss_Full=0.4302, Time=0.2395
0110 00348 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.1622, LossGram=3.3145,Loss_Full=0.4308, Time=0.2447
0110 00349 Loss1=0.0175, Lambda=2.75, Loss2=0.0263, LossMSE=3.0242, LossGram=2.9260,Loss_Full=0.4008, Time=0.2379
0110 00350 Loss1=0.0148, Lambda=2.75, Loss2=0.0264, LossMSE=3.1179, LossGram=3.2226,Loss_Full=0.4216, Time=0.2444
0110 00351 Loss1=0.0172, Lambda=2.75, Loss2=0.0268, LossMSE=3.2147, LossGram=3.2345,Loss_Full=0.4309, Time=0.2343
0110 00352 Loss1=0.0165, Lambda=2.75, Loss2=0.0266, LossMSE=3.0576, LossGram=3.0715,Loss_Full=0.4109, Time=0.2544
0110 00353 Loss1=0.0154, Lambda=2.75, Loss2=0.0264, LossMSE=2.9263, LossGram=3.3590,Loss_Full=0.4189, Time=0.2581
0110 00354 Loss1=0.0170, Lambda=2.75, Loss2=0.0264, LossMSE=3.2057, LossGram=2.9621,Loss_Full=0.4135, Time=0.2421
0110 00355 Loss1=0.0148, Lambda=2.75, Loss2=0.0262, LossMSE=2.5772, LossGram=3.4619,Loss_Full=0.4034, Time=0.2515
0110 00356 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.2645, LossGram=3.2424,Loss_Full=0.4326, Time=0.2569
0110 00357 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=2.9446, LossGram=3.4347,Loss_Full=0.4254, Time=0.2577
0110 00358 Loss1=0.0190, Lambda=2.75, Loss2=0.0264, LossMSE=3.3718, LossGram=2.7436,Loss_Full=0.4124, Time=0.2621
0110 00359 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=2.9660, LossGram=3.5254,Loss_Full=0.4314, Time=0.2552
0110 00360 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.0945, LossGram=3.3411,Loss_Full=0.4284, Time=0.2424
0110 00361 Loss1=0.0149, Lambda=2.75, Loss2=0.0263, LossMSE=2.9378, LossGram=3.3100,Loss_Full=0.4161, Time=0.2679
0110 00362 Loss1=0.0186, Lambda=2.75, Loss2=0.0267, LossMSE=3.3204, LossGram=2.6260,Loss_Full=0.4021, Time=0.2677
0110 00363 Loss1=0.0136, Lambda=2.75, Loss2=0.0266, LossMSE=2.8905, LossGram=3.4179,Loss_Full=0.4187, Time=0.2419
0110 00364 Loss1=0.0179, Lambda=2.75, Loss2=0.0268, LossMSE=2.9481, LossGram=3.1851,Loss_Full=0.4127, Time=0.2536
0110 00365 Loss1=0.0195, Lambda=2.75, Loss2=0.0269, LossMSE=3.2126, LossGram=2.8378,Loss_Full=0.4095, Time=0.2492
